LGA_Name,Year,Total_Crash,Total_Cas
ALEXANDRINA COUNCIL,2014,191,93
ALEXANDRINA COUNCIL,2015,170,119
ALEXANDRINA COUNCIL,2016,214,100
ALEXANDRINA COUNCIL,2017,179,104
ALEXANDRINA COUNCIL,2018,145,89
BARUNGA WEST DISTRICT COUNCIL,2014,24,10
BARUNGA WEST DISTRICT COUNCIL,2015,17,7
BARUNGA WEST DISTRICT COUNCIL,2016,25,18
BARUNGA WEST DISTRICT COUNCIL,2017,20,8
BARUNGA WEST DISTRICT COUNCIL,2018,11,5
CC CAMPBELLTOWN.              ,2014,354,149
CC CAMPBELLTOWN.              ,2015,293,107
CC CAMPBELLTOWN.              ,2016,362,129
CC CAMPBELLTOWN.              ,2017,289,122
CC CAMPBELLTOWN.              ,2018,290,119
CC MARION.                    ,2014,808,312
CC MARION.                    ,2015,759,323
CC MARION.                    ,2016,873,366
CC MARION.                    ,2017,657,287
CC MARION.                    ,2018,742,332
CC MITCHAM.                   ,2014,752,323
CC MITCHAM.                   ,2015,750,298
CC MITCHAM.                   ,2016,788,271
CC MITCHAM.                   ,2017,586,241
CC MITCHAM.                   ,2018,594,234
CC MT.GAMBIER.                ,2014,142,40
CC MT.GAMBIER.                ,2015,128,39
CC MT.GAMBIER.                ,2016,163,34
CC MT.GAMBIER.                ,2017,115,37
CC MT.GAMBIER.                ,2018,113,55
"CC OF NORWOOD,PAYNEHAM & ST PETERS",2014,710,265
"CC OF NORWOOD,PAYNEHAM & ST PETERS",2015,681,241
"CC OF NORWOOD,PAYNEHAM & ST PETERS",2016,753,259
"CC OF NORWOOD,PAYNEHAM & ST PETERS",2017,605,233
"CC OF NORWOOD,PAYNEHAM & ST PETERS",2018,569,221
CC PT.AUGUSTA.                ,2014,90,19
CC PT.AUGUSTA.                ,2015,82,33
CC PT.AUGUSTA.                ,2016,88,35
CC PT.AUGUSTA.                ,2017,64,20
CC PT.AUGUSTA.                ,2018,49,15
CC PT.LINCOLN.                ,2014,84,32
CC PT.LINCOLN.                ,2015,76,26
CC PT.LINCOLN.                ,2016,76,28
CC PT.LINCOLN.                ,2017,41,13
CC PT.LINCOLN.                ,2018,45,25
CC WHYALLA.                   ,2014,79,37
CC WHYALLA.                   ,2015,97,53
CC WHYALLA.                   ,2016,86,36
CC WHYALLA.                   ,2017,79,30
CC WHYALLA.                   ,2018,55,21
CITY OF ADELAIDE,2014,911,322
CITY OF ADELAIDE,2015,829,304
CITY OF ADELAIDE,2016,810,255
CITY OF ADELAIDE,2017,693,296
CITY OF ADELAIDE,2018,675,269
CITY OF BURNSIDE,2014,317,120
CITY OF BURNSIDE,2015,349,130
CITY OF BURNSIDE,2016,390,146
CITY OF BURNSIDE,2017,333,170
CITY OF BURNSIDE,2018,318,129
CITY OF CHARLES STURT,2014,1239,477
CITY OF CHARLES STURT,2015,1095,442
CITY OF CHARLES STURT,2016,1214,426
CITY OF CHARLES STURT,2017,950,392
CITY OF CHARLES STURT,2018,926,375
CITY OF HOLDFAST BAY,2014,348,145
CITY OF HOLDFAST BAY,2015,324,136
CITY OF HOLDFAST BAY,2016,384,129
CITY OF HOLDFAST BAY,2017,278,113
CITY OF HOLDFAST BAY,2018,302,109
CITY OF ONKAPARINGA,2014,1092,505
CITY OF ONKAPARINGA,2015,1018,473
CITY OF ONKAPARINGA,2016,1080,508
CITY OF ONKAPARINGA,2017,795,409
CITY OF ONKAPARINGA,2018,878,391
CITY OF PLAYFORD.,2014,810,358
CITY OF PLAYFORD.,2015,807,359
CITY OF PLAYFORD.,2016,887,408
CITY OF PLAYFORD.,2017,709,426
CITY OF PLAYFORD.,2018,740,405
